time,open,high,low,close,volume,close_time,quote_volume,trade_number,taker_buy_volume,taker_quote_volume,na
1678291200000,1560.39000000,1565.25000000,1548.45000000,1552.73000000,56342.08050000,1678305599999,87655750.58281200,88981,27173.20890000,42266497.16893400,0
1678305600000,1552.72000000,1561.29000000,1523.61000000,1532.38000000,128310.87040000,1678319999999,198283899.50637900,152380,63434.17920000,98072223.44614500,0
1678320000000,1532.38000000,1545.00000000,1531.03000000,1541.74000000,54712.56710000,1678334399999,84135846.16048100,81451,29595.28490000,45506895.23191800,0
1678334400000,1541.74000000,1541.82000000,1536.04000000,1536.91000000,35546.97410000,1678348799999,54698337.78201200,63374,16702.51100000,25700040.16115700,0
1678348800000,1536.92000000,1539.09000000,1522.52000000,1535.32000000,75886.27890000,1678363199999,116321569.90788200,107684,37590.36270000,57621011.78412100,0
1678363200000,1535.31000000,1546.45000000,1527.04000000,1534.04000000,78880.95290000,1678377599999,121241439.76993400,114661,40971.28670000,62966881.69682700,0
1678377600000,1534.05000000,1537.81000000,1480.80000000,1488.27000000,181593.97040000,1678391999999,274375480.96329400,205388,84652.04250000,127918391.24169300,0
1678392000000,1488.27000000,1490.40000000,1408.00000000,1437.32000000,291864.39300000,1678406399999,421624203.32397500,342377,130909.32810000,189036348.97909600,0
1678406400000,1437.32000000,1437.50000000,1409.23000000,1426.34000000,154029.08480000,1678420799999,219534809.16508100,171054,72015.10470000,102632275.62380700,0
1678420800000,1426.35000000,1426.70000000,1391.56000000,1412.27000000,149074.52650000,1678435199999,210398394.08667700,161685,68495.30240000,96656642.30694500,0
1678435200000,1412.27000000,1413.00000000,1368.39000000,1384.60000000,170547.04250000,1678449599999,236816630.85121300,183875,79667.36580000,110625442.98262200,0
1678449600000,1384.61000000,1434.68000000,1382.00000000,1417.03000000,240037.32190000,1678463999999,337299716.32562800,298179,121329.52710000,170516225.73263000,0
1678464000000,1417.03000000,1439.43000000,1399.99000000,1423.50000000,123754.07180000,1678478399999,175108067.31204000,174481,62624.42280000,88631083.17125200,0
1678478400000,1423.49000000,1433.45000000,1406.46000000,1426.44000000,122820.40340000,1678492799999,174583771.08662000,165935,58286.90040000,82857320.47468800,0
1678492800000,1426.43000000,1476.00000000,1424.57000000,1458.31000000,330138.18490000,1678507199999,480214860.94381500,358794,163249.25230000,237586644.30249900,0
1678507200000,1458.32000000,1466.91000000,1414.15000000,1416.65000000,305270.25140000,1678521599999,443684951.88852800,287372,153806.00480000,223610670.83323800,0
1678521600000,1416.66000000,1450.51000000,1408.40000000,1427.10000000,296963.19580000,1678535999999,424415171.94166000,317632,136953.35910000,195720072.25872500,0
1678536000000,1427.10000000,1436.00000000,1425.55000000,1428.01000000,125084.84620000,1678550399999,178996210.01791300,148747,61339.33680000,87777077.34733900,0
1678550400000,1428.00000000,1457.04000000,1422.32000000,1449.22000000,180365.58850000,1678564799999,260199620.19013000,187281,90055.54350000,129959341.87127700,0
1678564800000,1449.22000000,1478.07000000,1449.21000000,1471.97000000,137037.55330000,1678579199999,200416037.36632800,167430,68651.65390000,100400881.89628300,0
1678579200000,1471.93000000,1475.05000000,1449.90000000,1467.00000000,139029.66360000,1678593599999,203572896.42612800,153497,71575.50300000,104811239.86237700,0
1678593600000,1467.00000000,1471.44000000,1453.64000000,1459.56000000,82241.63730000,1678607999999,120336965.55786400,102628,38354.67080000,56119113.12701200,0
1678608000000,1459.57000000,1467.53000000,1457.97000000,1465.17000000,71756.60890000,1678622399999,104991985.78983700,88572,36344.39210000,53177636.45599400,0
1678622400000,1465.18000000,1466.16000000,1448.30000000,1455.88000000,130082.51770000,1678636799999,189562239.46219000,146850,56494.09090000,82319365.69083200,0
